yORF,"gene name","GFP tagged?","GFP visualized?",abundance,ambiguous,mitochondrion,vacuole,"spindle pole","cell periphery","punctate composite","vacuolar membrane",ER,"nuclear periphery",endosome,"bud neck",microtubule,Golgi,"late Golgi",peroxisome,actin,nucleolus,cytoplasm,"ER to Golgi","early Golgi","lipid particle",nucleus,bud
YER167W,BCK2,tagged,visualized,"not visualized",F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,T,F
YER168C,CCA1,tagged,visualized,13500,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,F,F
YER169W,RPH1,tagged,visualized,2230,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F
YER170W,ADK2,tagged,visualized,704,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
YER171W,RAD3,tagged,visualized,14400,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,T,F
YER172C,BRR2,tagged,visualized,1440,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,T,F
YER173W,RAD24,tagged,visualized,752,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,T,F
YER174C,GRX4,tagged,visualized,7800,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,T,F
YER175C,TMT1,tagged,visualized,937,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,F,F
YER176W,ECM32,tagged,visualized,736,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,F,F
YER177W,BMH1,tagged,visualized,158000,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,F,F
YER178W,PDA1,tagged,visualized,100000,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
YER182W,,tagged,visualized,1920,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
YER183C,FAU1,tagged,visualized,468,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
YFL001W,DEG1,tagged,visualized,5860,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F
YFL002C,SPB4,tagged,visualized,5740,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,F,T,F
YFL004W,VTC2,tagged,visualized,2910,F,F,F,F,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
YFL006W,,tagged,visualized,1500,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,T,F
YFL007W,BLM3,tagged,visualized,2600,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,T,F
YFL008W,SMC1,tagged,visualized,5710,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,T,F
YFL010C,WWM1,tagged,visualized,6020,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,T,F
YFL013C,IES1,tagged,visualized,1390,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F
YFL014W,HSP12,tagged,visualized,4490,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,T,F
YFL016C,MDJ1,tagged,visualized,7570,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
YFL017C,GNA1,tagged,visualized,2550,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,T,F
YFL017W-A,SMX2,tagged,visualized,1400,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F
YFL018C,LPD1,tagged,visualized,24600,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
YFL021W,GAT1,tagged,visualized,1180,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,T,F
YFL023W,BUD27,tagged,visualized,1300,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,F,F
YFL024C,EPL1,tagged,visualized,1110,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F
YFL025C,BST1,tagged,visualized,"technical problem",F,F,F,F,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
YFL026W,STE2,tagged,visualized,"technical problem",F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
YFL027C,GYP8,tagged,visualized,573,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
YFL028C,CAF16,tagged,visualized,1620,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,T,F
YFL029C,CAK1,tagged,visualized,"technical problem",F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,F,F
YFL030W,AGX1,tagged,visualized,339,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
YFL031W,HAC1,tagged,visualized,8970,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,T,F
YFL033C,RIM15,tagged,visualized,"low signal",F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,F,F
YFL034C-A,RPL22B,tagged,visualized,74700,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,F,F
YFL034C-B,MOB2,tagged,visualized,2250,F,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,F,F
YFL034W,,tagged,visualized,1110,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
YFL036W,RPO41,tagged,visualized,"not visualized",F,F,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
YFL041W,FET5,tagged,visualized,2840,F,F,F,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
YFL044C,,tagged,visualized,2770,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,T,F
YFL045C,SEC53,tagged,visualized,3500,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,T,F
YFL046W,,tagged,visualized,"low signal",F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
YFL047W,RGD2,tagged,visualized,1750,F,F,F,F,T,F,F,F,F,F,T,F,F,F,F,F,F,T,F,F,F,F,F
YFL048C,EMP47,tagged,visualized,2900,F,F,F,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
YFL049W,,tagged,visualized,3180,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F
YFL062W,COS4,tagged,visualized,"technical problem",F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
YFR001W,LOC1,tagged,visualized,3650,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,F,T,F
YFR002W,NIC96,tagged,visualized,15500,F,F,F,F,F,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F
YFR004W,RPN11,tagged,visualized,16400,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,T,F
YFR005C,SAD1,tagged,visualized,167,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,T,F
YFR006W,,tagged,visualized,"not visualized",F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,F,F
YFR008W,FAR7,tagged,visualized,486,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
YFR009W,GCN20,tagged,visualized,14600,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,F,F
YFR010W,UBP6,tagged,visualized,6770,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,T,F
YFR011C,,tagged,visualized,3550,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,F,F
YFR013W,IOC3,tagged,visualized,1770,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F
YFR014C,CMK1,tagged,visualized,1520,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,F,F
YFR015C,GSY1,tagged,visualized,6300,F,F,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,F,F
YFR016C,,tagged,visualized,704,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,F,T
YFR017C,,tagged,visualized,639,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,F,F
YFR019W,FAB1,tagged,visualized,149,F,F,F,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
YFR021W,AUT10,tagged,visualized,1560,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
YFR024C,YSC85,tagged,visualized,18000,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,F,F,F,F
YFR024C-A,LSB3,tagged,visualized,3670,F,T,F,F,T,F,F,F,F,F,T,F,F,F,F,F,F,T,F,F,F,F,F
YFR025C,HIS2,tagged,visualized,4280,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,F,F
YFR027W,ECO1,tagged,visualized,"not visualized",F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,T,F
YFR028C,CDC14,tagged,visualized,8550,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,F,F,F
YFR030W,MET10,tagged,visualized,1580,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,F,F
YFR031C,SMC2,tagged,visualized,3290,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,T,F
YFR031C-A,RPL2A,tagged,visualized,"technical problem",F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,F,F
YFR033C,QCR6,tagged,visualized,4490,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,F,F
YFR034C,PHO4,tagged,visualized,"not visualized",F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,T,F
YFR036W,CDC26,tagged,visualized,"low signal",F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F
YFR037C,RSC8,tagged,visualized,3380,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F
YFR039C,,tagged,visualized,3170,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
YFR040W,SAP155,tagged,visualized,5960,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,F,F
YFR041C,,tagged,visualized,"not visualized",F,F,F,F,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
YFR044C,,tagged,visualized,22300,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,F,F
YFR046C,,tagged,visualized,1300,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F
YFR047C,BNA6,tagged,visualized,2660,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,T,F
YFR048W,RMD8,tagged,visualized,656,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
YFR049W,YMR31,tagged,visualized,2050,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
YFR050C,PRE4,tagged,visualized,16900,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,T,F
YFR051C,RET2,tagged,visualized,18000,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,F,F,F,T,F,F,F
YFR052W,RPN12,tagged,visualized,9890,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F
YFR053C,HXK1,tagged,visualized,40800,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,F,F
YGL001C,ERG26,tagged,visualized,2580,F,F,F,F,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
YGL004C,RPN14,tagged,visualized,2210,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,F,F
YGL005C,COG7,tagged,visualized,1360,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,F,F,F,F,F,F,F
YGL006W,PMC1,tagged,visualized,98.9,F,F,F,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
YGL008C,PMA1,tagged,visualized,1260000,F,F,T,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
YGL009C,LEU1,tagged,visualized,96300,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,T,F
YGL010W,,tagged,visualized,486,F,F,F,F,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
YGL011C,SCL1,tagged,visualized,15200,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,T,F
YGL012W,ERG4,tagged,visualized,1640,F,F,F,F,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
YGL013C,PDR1,tagged,visualized,1300,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F
YGL014W,PUF4,tagged,visualized,721,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,F,F
YGL016W,KAP122,tagged,visualized,9760,F,F,F,F,F,F,F,F,T,F,F,F,F,F,F,F,F,T,F,F,F,T,F
YGL017W,ATE1,tagged,visualized,2030,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,F,F
YGL018C,JAC1,tagged,visualized,2010,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
YGL019W,CKB1,tagged,visualized,8120,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,T,F
YGL020C,MDM39,tagged,visualized,2250,F,F,F,F,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
YGL021W,ALK1,tagged,visualized,2190,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
YGL022W,STT3,tagged,visualized,3000,F,F,F,F,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
YGL023C,PIB2,tagged,visualized,"not visualized",F,F,F,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
YGL025C,PGD1,tagged,visualized,556,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F
YGL026C,TRP5,tagged,visualized,15500,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,T,F
YGL028C,SCW11,tagged,visualized,22600,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
YGL029W,CGR1,tagged,visualized,2340,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F
YGL031C,RPL24A,tagged,visualized,247000,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,F,F
YGL032C,AGA2,tagged,visualized,1160,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
YGL035C,MIG1,tagged,visualized,830,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,T,F
YGL036W,MTC2,tagged,visualized,486,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,F,F
YGL037C,PNC1,tagged,visualized,7720,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,F,F,F,F,F
YGL038C,OCH1,tagged,visualized,9490,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,F,F,F,F,F,F,F
YGL039W,,tagged,visualized,2340,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,F,F
YGL040C,HEM2,tagged,visualized,11600,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,T,F
YGL043W,DST1,tagged,visualized,6260,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F
YGL046W,,tagged,visualized,3040,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,T,F
YGL047W,,tagged,visualized,1950,F,F,F,F,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
YGL048C,RPT6,tagged,visualized,4700,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F
YGL049C,TIF4632,tagged,visualized,3390,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,F,F
YGL053W,PRM8,tagged,visualized,1250,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
YGL054C,ERV14,tagged,visualized,7110,F,F,T,F,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
YGL055W,OLE1,tagged,visualized,"technical problem",F,F,F,F,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
YGL056C,SDS23,tagged,visualized,21200,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,T,F
YGL057C,,tagged,visualized,"low signal",F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
YGL058W,RAD6,tagged,visualized,2770,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,T,F
YGL059W,,tagged,visualized,450,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
YGL060W,YBP2,tagged,visualized,3870,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,F,F
YGL061C,DUO1,tagged,visualized,996,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
YGL062W,PYC1,tagged,visualized,12500,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,F,F
YGL064C,MRH4,tagged,visualized,736,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
YGL065C,ALG2,tagged,visualized,1840,F,F,F,F,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
YGL066W,SGF73,tagged,visualized,486,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F
YGL067W,NPY1,tagged,visualized,846,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,T,F
YGL068W,,tagged,visualized,6940,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
YGL070C,RPB9,tagged,visualized,2440,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F
YGL071W,RCS1,tagged,visualized,2730,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,T,F
YGL073W,HSF1,tagged,visualized,"not visualized",F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F
YGL075C,MPS2,tagged,visualized,"not visualized",F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
YGL076C,RPL7A,tagged,visualized,101000,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,F,F
YGL077C,HNM1,tagged,visualized,"technical problem",F,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T
YGL078C,DBP3,tagged,visualized,38900,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,F,T,F
YGL079W,,tagged,visualized,1630,F,F,F,F,F,F,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F
YGL080W,,tagged,visualized,396,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
YGL082W,,tagged,visualized,7620,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,T,F
YGL083W,SCY1,tagged,visualized,1480,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,F,F,F,F,F,F
YGL084C,GUP1,tagged,visualized,672,F,F,F,F,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
YGL085W,,tagged,visualized,704,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
YGL086W,MAD1,tagged,visualized,656,F,F,F,F,F,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F
YGL087C,MMS2,tagged,visualized,2760,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,T,F
YGL090W,LIF1,tagged,visualized,876,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,T,F
YGL091C,NBP35,tagged,visualized,"not visualized",F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,T,F
YGL092W,NUP145,tagged,visualized,4630,F,F,F,F,F,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F
YGL093W,SPC105,tagged,visualized,"not visualized",F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
YGL094C,PAN2,tagged,visualized,1510,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,F,F
YGL095C,VPS45,tagged,visualized,5660,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,F,F,T,F,F,F
YGL097W,SRM1,tagged,visualized,12100,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F
YGL098W,USE1,tagged,visualized,937,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F
YGL099W,LSG1,tagged,visualized,19400,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,F,F
YGL101W,,tagged,visualized,1500,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,T,F
YGL105W,ARC1,tagged,visualized,57700,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,F,F
YGL107C,RMD9,tagged,visualized,4800,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
YGL108C,,tagged,visualized,2430,F,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
YGL110C,CUE3,tagged,visualized,6300,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,F,F
YGL111W,NSA1,tagged,visualized,2740,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,F,T,F
YGL112C,TAF6,tagged,visualized,6510,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F
YGL113W,SLD3,tagged,visualized,125,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,T,F
YGL115W,SNF4,tagged,visualized,11700,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,F,F
YGL116W,CDC20,tagged,visualized,"not visualized",F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,T,F
YGL119W,ABC1,tagged,visualized,952,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
YGL120C,PRP43,tagged,visualized,16900,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,F,F,F
YGL122C,NAB2,tagged,visualized,9670,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F
YGL124C,MON1,tagged,visualized,"low signal",F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,F,F,F,F,F,F
YGL125W,MET13,tagged,visualized,8600,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,T,F
YGL126W,SCS3,tagged,visualized,538,F,F,F,F,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
YGL127C,SOH1,tagged,visualized,468,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F
YGL128C,CWC23,tagged,visualized,"low signal",F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,T,F
YGL129C,RSM23,tagged,visualized,1300,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
YGL130W,CEG1,tagged,visualized,279,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,T,F
YGL131C,SNT2,tagged,visualized,"technical problem",F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,T,F
YGL133W,ITC1,tagged,visualized,2610,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F
YGL134W,PCL10,tagged,visualized,217,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,F,F
YGL135W,RPL1B,tagged,visualized,265000,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,F,F
YGL137W,SEC27,tagged,visualized,129000,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,F,F,F,T,F,F,F
YGL139W,,tagged,visualized,"not visualized",F,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
YGL140C,,tagged,visualized,1080,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
YGL141W,HUL5,tagged,visualized,3120,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,T,F
YGL143C,MRF1,tagged,visualized,414,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
YGL145W,TIP20,tagged,visualized,6020,F,F,F,F,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
YGL147C,RPL9A,tagged,visualized,52400,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,F,F
YGL148W,ARO2,tagged,visualized,2310,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,F,F
YGL150C,INO80,tagged,visualized,6280,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F
YGL151W,NUT1,tagged,visualized,2490,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F
YGL153W,PEX14,tagged,visualized,2570,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,F,F,F,F,F
YGL155W,CDC43,tagged,visualized,3940,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,T,F
YGL156W,AMS1,tagged,visualized,319,F,F,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
YGL157W,,tagged,visualized,2950,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,T,F
YGL161C,YIP5,tagged,visualized,937,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,F,F
